image_id,image_name,media_id,image_launch_time,image_source_total_num,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,create_role_30_pay_sum,model_run_datetime,data_win
30202,ZDZL1962-横版ZDC,16,2021-05-02,4,312.98,0.0,4.0,0.0,1.0,0.0,78.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-02,3
30210,ZDZL1963-横版xy,16,2021-05-01,1,640.98,0.0,11.0,0.0,1.0,0.0,58.270909,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,2021-05-02,3
30805,WD1355-CHL,16,2021-05-01,1,1013.25,0.0,6.0,0.0,1.0,0.0,168.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-02,3
30954,WD1358-CHL,16,2021-05-01,3,2616.16,1.0,22.0,6.0,1.0,0.0455,118.916364,2616.16,0.0,0.0,0.0,0.0,0.002293,0.1818,364.0,2021-05-02,3
31001,WD1360-CHL,16,2021-05-01,1,1689.65,1.0,13.0,6.0,1.0,0.0769,129.973077,1689.65,1.0,1.0,6.0,1.0,0.003551,0.2308,6.0,2021-05-02,3
31355,WD1364-CHL,16,2021-05-01,14,2430.67,2.0,26.0,12.0,1.0,0.0769,93.487308,1215.335,1.0,1.0,12.0,2.0,0.004937,0.1154,288.0,2021-05-02,3
31505,WD1367-CHL,16,2021-05-01,3,1646.23,0.0,12.0,0.0,1.0,0.0,137.185833,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,2021-05-02,3
31942,ZDZL1973-横版Z,16,2021-05-01,2,1139.38,0.0,28.0,0.0,2.0,0.0,40.692143,0.0,0.0,0.0,0.0,0.0,0.0,0.2143,0.0,2021-05-02,3
31945,ZDZL1974-横版CHL+坦克展示,16,2021-05-01,15,1202.73,0.0,14.0,0.0,1.0,0.0,85.909286,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,2021-05-02,3
31964,ZDZL1977-竖版LL,16,2021-05-01,7,487.46,0.0,11.0,0.0,2.0,0.0,44.314545,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,7.0,2021-05-02,3
23530,QXJJ092-横版CHL,16,2021-05-02,1,401.37,0.0,4.0,0.0,1.0,0.0,100.3425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2021-05-03,3
23536,QXJJ094-竖版xy,16,2021-05-01,1,19363.12,9.0,202.0,500.0,1.0,0.0446,95.85703,2151.457778,1.0,1.0,500.0,9.0,0.025822,0.1881,7516.0,2021-05-03,3
23778,ZDZL1134-横版ZDC,16,2021-05-01,4,1038.13,0.0,10.0,0.0,1.0,0.0,103.813,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2021-05-03,3
23919,ZDZL1176-横版ZDC,16,2021-05-01,1,6746.04,3.0,70.0,523.0,1.0,0.0429,96.372,2248.68,1.0,1.0,523.0,3.0,0.077527,0.2,1981.0,2021-05-03,3
