ad_account_id_1,ad_amount_1,ad_create_role_num_1,ad_new_role_money_1,ad_pay_role_user_num_1,ad_source_num_1,ad_valid_source_num_1,model_run_datetime_1,data_win_1
5101,49369.21,1776,9124,44,11,7,2020/1/23,1
5105,30277.63,1245,9944,30,2,2,2020/1/23,1
5110,26691.77,300,2444,16,2,2,2020/1/23,1
5134,80364,1584,8040,61,4,2,2020/1/23,1
5138,9004.57,136,160,2,3,1,2020/1/23,1
5248,4990.61,30,0,0,10,0,2020/1/23,1
5249,8665.51,118,1180,10,6,2,2020/1/23,1
5264,2476.64,31,776,2,3,1,2020/1/23,1
5265,1661.27,46,0,0,5,0,2020/1/23,1
5266,1666.56,38,200,1,1,0,2020/1/23,1
5344,2105.72,82,0,0,5,0,2020/1/23,1
5345,17765.73,196,252,4,4,2,2020/1/23,1
5349,25656.25,454,1080,10,8,2,2020/1/23,1
5351,8700.88,97,12,1,7,1,2020/1/23,1
5352,2705.24,34,158,3,3,1,2020/1/23,1
5357,3182.55,180,120,4,3,1,2020/1/23,1
4003,30020.35,2921,7404,34,7,2,2020/1/24,1
4688,243661.56,8162,33098,191,11,8,2020/1/24,1
4691,51120.08,568,2118,18,8,3,2020/1/24,1
4692,56917.68,2458,5986,54,15,12,2020/1/24,1
4728,9091.36,596,1146,4,10,3,2020/1/24,1
4800,54770.85,1580,7232,56,8,6,2020/1/24,1
4884,96358.07,4895,23924,96,15,7,2020/1/24,1
5101,95325.81,3317,26404,88,13,10,2020/1/24,1
5105,115789.73,2976,7852,60,8,6,2020/1/24,1
5110,17405.12,242,1108,6,2,1,2020/1/24,1
5134,50365.31,1057,9224,56,3,3,2020/1/24,1
5138,2457.14,44,110,1,3,1,2020/1/24,1
5248,4154.88,33,0,0,9,0,2020/1/24,1
5249,6666.15,69,364,4,6,1,2020/1/24,1
5265,582.09,10,0,0,3,0,2020/1/24,1
5344,998.72,31,0,0,2,0,2020/1/24,1
5345,3883.89,62,0,0,4,0,2020/1/24,1
5349,37007.09,569,1830,13,8,4,2020/1/24,1
5351,13182.12,177,1796,8,5,1,2020/1/24,1
5352,2546.52,26,196,2,3,1,2020/1/24,1
5357,1357.53,77,0,0,3,0,2020/1/24,1
4003,21884.55,2187,8956,30,3,2,2020/1/25,1
4688,246419.02,7518,25352,183,11,10,2020/1/25,1
4691,39579.11,507,2672,20,3,1,2020/1/25,1
4692,61567.31,2239,6722,69,15,12,2020/1/25,1
4728,10897.57,405,752,6,6,1,2020/1/25,1
4800,50528.08,1631,5534,53,8,5,2020/1/25,1
