ad_account_id,ad_amount,ad_create_role_num,ad_new_role_money,ad_pay_role_user_num,ad_source_num,ad_valid_source_num,model_run_datetime,data_win
4884,43201.87,1540.0,2744.0,27.0,18,5,2020-01-21,1
5101,50379.7,2182.0,2286.0,40.0,20,8,2020-01-21,1
5105,65879.02,2773.0,2376.0,39.0,8,5,2020-01-21,1
5110,899.36,8.0,0.0,0.0,1,0,2020-01-21,1
5134,73307.37,1466.0,7564.0,54.0,9,7,2020-01-21,1
5138,3899.65,49.0,12.0,1.0,3,1,2020-01-21,1
5248,4723.03,28.0,98.0,1.0,8,0,2020-01-21,1
5249,10455.45,107.0,852.0,6.0,7,1,2020-01-21,1
5250,1580.87,6.0,0.0,0.0,5,0,2020-01-21,1
5264,1797.96,19.0,0.0,0.0,2,0,2020-01-21,1
5265,8394.22,327.0,0.0,0.0,4,0,2020-01-21,1
5266,4112.13,92.0,24.0,2.0,5,1,2020-01-21,1
5344,6353.25,217.0,0.0,0.0,6,0,2020-01-21,1
5345,9944.33,35.0,0.0,0.0,4,0,2020-01-21,1
5347,4184.79,22.0,0.0,0.0,1,0,2020-01-21,1
5349,103127.84,1440.0,3868.0,43.0,12,5,2020-01-21,1
5351,22583.27,298.0,1030.0,11.0,12,3,2020-01-21,1
5352,8453.0,92.0,24.0,2.0,7,0,2020-01-21,1
4003,13571.77,1016.0,704.0,10.0,5,2,2020-01-22,1
4687,4770.47,34.0,102.0,1.0,2,1,2020-01-22,1
4688,128456.02,5585.0,34936.0,89.0,8,5,2020-01-22,1
4691,48295.2,419.0,1312.0,16.0,11,3,2020-01-22,1
4692,58189.44,2241.0,3852.0,52.0,16,7,2020-01-22,1
4728,13909.38,1376.0,12.0,1.0,8,1,2020-01-22,1
4800,43523.43,1043.0,5046.0,31.0,15,5,2020-01-22,1
4884,35172.91,1436.0,1552.0,16.0,16,5,2020-01-22,1
5101,39984.08,1565.0,1874.0,28.0,15,6,2020-01-22,1
5105,26849.84,1344.0,4952.0,27.0,3,3,2020-01-22,1
5110,16345.13,135.0,592.0,7.0,2,2,2020-01-22,1
5134,94270.76,1941.0,9198.0,57.0,9,5,2020-01-22,1
5138,9957.07,138.0,980.0,2.0,3,1,2020-01-22,1
5248,4267.38,19.0,0.0,0.0,9,0,2020-01-22,1
5249,9443.95,115.0,304.0,6.0,7,2,2020-01-22,1
5264,4274.6,50.0,376.0,2.0,4,1,2020-01-22,1
5265,5406.88,235.0,340.0,2.0,6,0,2020-01-22,1
5266,2934.6,70.0,0.0,0.0,3,0,2020-01-22,1
5344,4748.9,177.0,24.0,2.0,6,0,2020-01-22,1
5345,20147.81,151.0,120.0,3.0,4,2,2020-01-22,1
5347,2189.27,8.0,0.0,0.0,1,0,2020-01-22,1
5349,58964.55,980.0,6348.0,31.0,12,4,2020-01-22,1
5351,8768.23,97.0,60.0,2.0,6,1,2020-01-22,1
