,image_id,image_name,media_id,label_ids,image_launch_time,image_source_total_num,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win
32,19892,SSR767-横版（3D混剪-646复刻）,10,,2020-02-04,12,4078.79,0.0,36.0,0.0,1,0.0,113.299722,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2020-03-01,3
33,19893,SSR768-竖版（混剪）,10,,2020-02-04,51,8064.0,6.0,233.0,352.0,1,0.0258,34.609442,1344.0,1.0,1.0,352.0,6.0,0.043651,0.0891,2020-03-01,3
34,19908,SSR774-横版（混剪）,10,,2020-02-05,36,726.87,1.0,8.0,60.0,2,0.125,90.85875,726.87,2.0,1.0,30.0,0.5,0.082546,0.25,2020-03-01,3
35,19910,SSR776-竖版（混剪）,10,,2020-02-05,23,15454.2,4.0,668.0,346.0,2,0.006,23.13503,3863.55,0.0,0.0,0.0,0.0,0.022389,0.1437,2020-03-01,3
36,19988,SSR797-横版（混剪）,10,,2020-02-12,5,1120.97,0.0,8.0,0.0,2,0.0,140.12125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3
37,19999,SSR802-竖版（混剪）,10,,2020-02-08,54,20086.15,10.0,496.0,664.0,3,0.0202,40.49627,2008.615,1.0,0.3333,664.0,10.0,0.033058,0.163,2020-03-01,3
38,20023,SSR811-竖版（混剪）,10,,2020-02-13,16,2451.61,0.0,20.0,0.0,1,0.0,122.5805,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020-03-01,3
39,20025,SSR813-竖版（混剪）,10,,2020-02-12,20,4030.16,2.0,98.0,122.0,1,0.0204,41.124082,2015.08,1.0,1.0,122.0,2.0,0.030272,0.1727,2020-03-01,3
40,20044,SSR817-竖板(混剪),16,,2020-02-17,10,6345.35,0.0,59.0,0.0,1,0.0,107.548305,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2020-03-01,3
41,20048,SSR820-竖板(混剪),10,,2020-02-13,16,3771.18,3.0,117.0,110.0,4,0.0256,32.232308,1257.06,4.0,1.0,27.5,0.75,0.029169,0.1278,2020-03-01,3
42,20057,SSR823-竖版（混剪）,10,,2020-02-13,2,1025.04,0.0,6.0,0.0,1,0.0,170.84,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2020-03-01,3
43,20083,SSR832-横版（3D混剪）,10,,2020-02-17,17,155.68,0.0,11.0,0.0,1,0.0,14.152727,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2020-03-01,3
44,20094,SSR834-横版（3D混剪）,16,,2020-02-18,5,1316.11,0.0,9.0,0.0,1,0.0,146.234444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3
45,20100,SSR837-横版（3D混剪）,10,,2020-02-19,2,767.34,0.0,14.0,0.0,1,0.0,54.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3
46,20117,SSR842-横版（2D+3D混剪）,10,,2020-02-13,6,1334.58,0.0,20.0,0.0,2,0.0,66.729,0.0,0.0,0.0,0.0,0.0,0.0,0.1538,2020-03-01,3
47,20118,SSR843-横版（2D+3D混剪）,10,,2020-02-10,59,25846.11,5.0,402.0,176.0,3,0.0124,64.293806,5169.222,1.0,0.3333,176.0,5.0,0.00681,0.1441,2020-03-01,3
48,20119,SSR844-横版（2D+3D混剪）,10,,2020-02-12,78,23823.91,3.0,478.0,238.0,9,0.0063,49.840816,7941.303333,0.0,0.0,0.0,0.0,0.00999,0.1447,2020-03-01,3
49,20120,SSR845-横版（2D+3D混剪）,10,,2020-02-12,40,40641.89,16.0,1684.0,738.0,7,0.0095,24.134139,2540.118125,4.0,0.5714,184.5,4.0,0.018159,0.1112,2020-03-01,3
50,20133,SSR846-横版（3D）,10,,2020-02-18,80,46187.99,9.0,1162.0,3262.0,11,0.0077,39.748701,5131.998889,5.0,0.4545,652.4,1.8,0.070624,0.1131,2020-03-01,3
51,20146,SSR848-横版（2D+3D混剪）,10,,2020-02-18,18,20579.95,5.0,402.0,438.0,7,0.0124,51.193905,4115.99,0.0,0.0,0.0,0.0,0.021283,0.1114,2020-03-01,3
