image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score,image_launch_time,image_source_total_num,media_id,label_ids
17817,SSR364-竖版(扒),9942.69,3.0,311.0,312.0,4,0.0096,31.970064,3314.23,4.0,1.0,78.0,0.75,0.03138,0.1094,2020-01-07,3,646.0,2019-10-16,245,10,
18072,SSR430-横版（扒）,10656.18,3.0,282.0,114.0,4,0.0106,37.787872,3552.06,2.0,0.5,57.0,1.5,0.010698,0.1049,2020-01-07,3,575.0,2019-10-30,73,10,
18166,Mxz279,4288.14,1.0,30.0,12.0,2,0.0333,142.938,4288.14,2.0,1.0,6.0,0.5,0.002798,0.1563,2020-01-07,3,518.0,2019-11-12,41,10,
18435,SSR490-横版（扒）,15226.25,2.0,503.0,200.0,8,0.004,30.270875,7613.125,0.0,0.0,0.0,0.0,0.013135,0.0939,2020-01-07,3,550.0,2019-11-18,18,10,
18563,SSR497-横板（3D）,24554.23,10.0,668.0,822.0,6,0.015,36.757829,2455.423,2.0,0.3333,411.0,5.0,0.033477,0.0716,2020-01-07,3,715.0,2019-11-07,79,10,
18856,SSR533-横版（端游混剪）,2147.73,0.0,7.0,0.0,2,0.0,306.818571,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-07,3,402.0,2020-01-04,2,10,
18900,SSR546-横版（扒）,29613.42,11.0,633.0,490.0,11,0.0174,46.782654,2692.129091,11.0,1.0,44.545455,1.0,0.016547,0.1213,2020-01-07,3,644.0,2019-11-15,89,10,
18964,SSR555-横版（混剪),802.14,0.0,5.0,0.0,1,0.0,160.428,inf,0.0,0.0,0.0,0.0,0.0,0.6,2020-01-07,3,500.0,2020-01-07,3,10,
19009,SSR566-竖版（3D）-750x1334—6-30S  7M内,4242.91,0.0,65.0,0.0,2,0.0,65.275538,inf,0.0,0.0,0.0,0.0,0.0,0.1061,2020-01-07,3,476.0,2019-12-05,8,10,
19072,SSR576-横版（真人),8967.57,4.0,757.0,478.0,2,0.0053,11.846196,2241.8925,2.0,1.0,239.0,2.0,0.053303,0.0598,2020-01-07,3,683.0,2019-12-10,15,10,
19099,SSR582-横版（混剪）,20332.38,7.0,600.0,430.0,11,0.0117,33.8873,2904.625714,1.0,0.0909,430.0,7.0,0.021149,0.0965,2020-01-07,3,551.0,2019-12-11,73,10,
19208,SSR607-竖版（混剪）,102501.17,34.0,3174.0,3018.0,37,0.0107,32.294004,3014.740294,37.0,1.0,81.567568,0.9189,0.029444,0.097,2020-01-07,3,732.0,2019-12-17,278,10,
19248,SSR615-横版（3D）,15203.25,3.0,706.0,54.0,6,0.0042,21.534348,5067.75,0.0,0.0,0.0,0.0,0.003552,0.0659,2020-01-07,3,513.0,2019-12-20,16,10,
19343,SSR628-竖版（混剪）,8927.26,5.0,349.0,120.0,2,0.0143,25.579542,1785.452,2.0,1.0,60.0,2.5,0.013442,0.096,2020-01-07,3,520.0,2019-12-31,3,10,
19360,SSR634-横版（3D）,17667.83,6.0,798.0,798.0,4,0.0075,22.140138,2944.638333,2.0,0.5,399.0,3.0,0.045167,0.0648,2020-01-07,3,706.0,2019-12-24,91,10,
19388,SSR641-横版(3D),1249.64,0.0,7.0,0.0,1,0.0,178.52,inf,0.0,0.0,0.0,0.0,0.0,0.1429,2020-01-07,3,459.0,2020-01-04,4,10,
19395,SSR646-横版（混剪）,19871.45,7.0,793.0,854.0,7,0.0088,25.058575,2838.778571,4.0,0.5714,213.5,1.75,0.042976,0.0779,2020-01-07,3,686.0,2019-12-28,19,10,
