,channel_id,source_id,image_id,materialstyle,brand,subtitle,titles
50,21206,1378720,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['这才是真正文明级游戏，多样玩法，轻松打造属于自己的王国！', '开局一座荒岛，采集资源，伐木，挖石，创建自己的王国！', '帝王时代终于出手游了，老玩家都在玩，完美还原端游，还原经典！', '开局一部落长老，建造发展部落，创建成强大王国！', '1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！']"
51,21206,1378713,40046,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！']"
52,21206,1378716,40404,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味!']"
53,21206,1378724,44039,113,罗马：单机加强版,下载领取中国区专属福利！,"['超好玩的策略手游，自由对战、升级主城，轻松建立王国！', '经典帝王手游重置，万人同服，丰富玩法，感受策略与智谋的碰撞！', '#{地域}小伙三天招募3万大军，征服609格地图，升级到封建时代！', '开局1个农民，伐木、采集、征战、开疆拓土，你多久能一统王国？', '3天征服1096格领土，来试试你能打下多大的地图？']"
54,21206,1378725,44039,113,罗马：单机加强版,下载领取中国区专属福利！,"['#{地域}小伙三天招募3万大军，征服609格地图，升级到封建时代！', '开局1个农民，伐木、采集、征战、开疆拓土，你多久能一统王国？', '经典帝王手游重置，万人同服，丰富玩法，感受策略与智谋的碰撞！', '3天征服1096格领土，来试试你能打下多大的地图？', '超好玩的策略手游，自由对战、升级主城，轻松建立王国！']"
55,21206,1378728,43850,113,罗马：单机加强版,下载领取中国区专属福利！,"['伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！']"
56,21206,1378727,43439,113,罗马：单机加强版,下载领取中国区专属福利！,"['真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
57,21206,1378726,43850,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！']"
58,21206,1378729,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['帝王时代终于出手游了，老玩家都在玩，完美还原端游，还原经典！', '1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局一部落长老，建造发展部落，创建成强大王国！', '开局一座荒岛，采集资源，伐木，挖石，创建自己的王国！', '这才是真正文明级游戏，多样玩法，轻松打造属于自己的王国！']"
59,21206,1378730,43790,113,罗马：单机加强版,下载领取中国区专属福利！,"['伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！']"
60,21206,1378731,43439,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！']"
61,21206,1378736,43982,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味']"
62,21206,1378737,43982,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味']"
63,21206,1378738,42463,113,罗马单机加强版,下载领取中国区专属福利！,"['完美还原经典端游，采集，伐木，挖石，3天打造属于你的王国！', '#{地域}小伙三天招募3万大军，征服609格地图，升级到封建时代！', '3天征服1096格领土，来试试你能打下多大的地图？']"
64,20917,1379228,43657,113,罗马：单机加强版,荒岛求生，建造帝国,"['小时候玩的王朝终于出手游了！开局5个农民，建立你的王国！', '小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！', '古巴比伦、欧洲、亚洲三选一，攻城占地，开启你的王国帝王！', '古巴比伦、欧洲、亚洲三选一，挖矿造兵，开启你的王国王朝！', '年度SLG游戏精选！招募将领扩张雄师，助你征战古罗马！', '小时候玩的游戏终于出手游了,采集伐木，挖矿，打造你的帝国!']"
